label,message,message_length,word_count,char_count,uppercase_count,uppercase_ratio,exclamation_count,question_count,has_currency,has_numbers,has_url,has_email,processed_message_stem,processed_message_lemma
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,21,109,2,0.01834862385321101,0,1,0,0,0,0,gon home soon dont want talk stuff anymor tonight ive cri enough today,gon home soon dont want talk stuff anymore tonight ive cried enough today
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,26,136,17,0.125,1,0,0,1,0,0,six chanc win cash pound text csh send cost pday day tsandc appli repli info,six chance win cash pound text csh send cost pday day tsandcs apply reply info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,26,155,40,0.25806451612903225,2,0,1,1,1,0,urgent week free membership prize jackpot text word claim lccltd pobox ldnwarw,urgent week free membership prize jackpot text word claim lccltd pobox ldnwarw
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,37,196,3,0.015306122448979591,0,0,0,0,0,0,ive search right word thank breather promis take help grant fulfil promis wonder bless time,ive searching right word thank breather promise take help granted fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,8,35,26,0.7428571428571429,2,0,0,0,0,0,date sunday,date sunday
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,19,149,23,0.15436241610738255,0,1,0,0,1,0,xxxmobilemovieclub use credit click wap link next text messag click xxxmobilemovieclubcomnqjkgighjjgcbl,xxxmobilemovieclub use credit click wap link next text message click xxxmobilemovieclubcomnqjkgighjjgcbl
ham,Oh k...i'm watching here:),26,4,26,1,0.038461538461538464,0,0,0,0,0,0,kim watch,kim watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,19,81,3,0.037037037037037035,0,0,0,1,0,0,rememb spell name ye naughti make wet,remember spell name yes naughty make wet
ham,Fine if thats the way u feel. Thats the way its gota b,56,13,56,2,0.03571428571428571,0,0,0,0,0,0,fine way feel way gota,fine way feel way gota
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,24,155,32,0.2064516129032258,0,0,0,1,0,0,england macedonia miss goalsteam news text nation team england trywal scotland txtú poboxoxwwq,england macedonia miss goalsteam news text national team england trywales scotland txtú poboxoxwwq
ham,Is that seriously how you spell his name?,41,8,41,1,0.024390243902439025,0,1,0,0,0,0,serious spell name,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,47,11,47,1,0.02127659574468085,0,0,0,1,0,0,go tri month joke,going try month joking
ham,So ü pay first lar... Then when is da stock comin...,52,11,52,2,0.038461538461538464,0,0,0,0,0,0,pay first lar stock comin,pay first lar stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,20,88,3,0.03409090909090909,0,1,0,1,0,0,aft finish lunch str lor ard smth lor finish lunch alreadi,aft finish lunch str lor ard smth lor finish lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,11,57,3,0.05263157894736842,0,1,0,0,0,0,ffffffffff alright way meet sooner,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,28,144,8,0.05555555555555555,0,0,0,0,0,0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
ham,Lol your always so convincing.,30,5,30,1,0.03333333333333333,0,0,0,0,0,0,lol alway convinc,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,32,134,6,0.04477611940298507,0,5,0,0,0,0,catch bu fri egg make tea eat mom left dinner feel love,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,15,75,2,0.02666666666666667,0,0,0,0,0,0,back amp pack car ill let know there room,back amp packing car ill let know there room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,12,64,5,0.078125,1,1,0,0,0,0,ahhh work vagu rememb feel like lol,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,26,130,1,0.007692307692307693,0,0,0,0,0,0,wait that still clear sure sarcast that doesnt want live,wait thats still clear sure sarcastic thats doesnt want live
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,189,5,0.026455026455026454,2,1,0,1,0,0,yeah got apologet fallen actin like spoilt child got caught till wont badli cheer,yeah got apologetic fallen actin like spoilt child got caught till wont badly cheer
ham,K tell me anything about you.,29,6,29,1,0.034482758620689655,0,0,0,0,0,0,tell anyth,tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,17,84,2,0.023809523809523808,0,1,0,0,0,0,fear faint housework quick cuppa,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,29,158,13,0.08227848101265822,0,0,1,1,0,0,thank subscript rington mobil charg pleas confirm repli ye repli charg,thanks subscription ringtone mobile charged please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,28,122,3,0.02459016393442623,0,0,0,1,0,0,yup home look time messag xuhui go learn may lesson,yup home look timing message xuhui going learn may lesson
ham,"Oops, I'll let you know when my roommate's done",47,9,47,2,0.0425531914893617,0,0,0,0,0,0,oop ill let know roommat done,oops ill let know roommate done
ham,I see the letter B on my car,28,8,28,2,0.07142857142857142,0,0,0,0,0,0,see letter car,see letter car
ham,Anything lor... U decide...,27,4,27,2,0.07407407407407407,0,0,0,0,0,0,anyth lor decid,anything lor decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,30,155,4,0.025806451612903226,2,1,0,0,0,0,hello how saturday text see youd decid anyth tomo tri invit anyth,hello hows saturday texting see youd decided anything tomo trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,17,82,4,0.04878048780487805,0,0,0,0,0,0,pleas ahead watt want sure great weekend abiola,please ahead watt wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,34,142,10,0.07042253521126761,0,1,0,0,0,0,forget tell want need crave love sweet arabian steed mmmmmm yummi,forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,33,172,7,0.040697674418604654,0,0,0,1,0,0,rodger burn messag tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,rodger burn message tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,19,4,19,15,0.7894736842105263,0,1,0,0,0,0,see,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,13,72,3,0.041666666666666664,1,0,0,0,0,0,great hope like man well endow ltgt inch,great hope like man well endowed ltgt inch
ham,No calls..messages..missed calls,32,3,32,1,0.03125,0,0,0,0,0,0,callsmessagesmiss call,callsmessagesmissed call
ham,Didn't you get hep b immunisation in nigeria.,45,8,45,1,0.022222222222222223,0,0,0,0,0,0,didnt get hep immunis nigeria,didnt get hep immunisation nigeria
ham,"Fair enough, anything going on?",31,5,31,1,0.03225806451612903,0,1,0,0,0,0,fair enough anyth go,fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,14,67,2,0.029850746268656716,0,0,0,0,0,0,yeah hope tyler cant could mayb ask around bit,yeah hopefully tyler cant could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,30,148,7,0.0472972972972973,0,0,0,0,0,0,dont know stubborn didnt even want hospit kept tell mark weak sucker hospit weak sucker,dont know stubborn didnt even want hospital kept telling mark weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,58,12,58,2,0.034482758620689655,0,0,0,0,0,0,think first time saw class,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,23,124,1,0.008064516129032258,0,0,0,0,0,0,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,16,80,1,0.0125,0,0,0,0,0,0,fyi ride earli tomorrow morn he crash place tonight,fyi ride early tomorrow morning he crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,55,289,7,0.02422145328719723,0,0,0,0,0,0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri didnt dont give sorri offer sorri room embarass,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry didnt dont give sorry offered sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,120,24,0.2,0,2,0,0,0,0,sm sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,sm sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,13,76,7,0.09210526315789473,0,1,0,0,0,0,know mallika sherawat yesterday find lturlgt,know mallika sherawat yesterday find lturlgt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,27,161,12,0.07453416149068323,4,0,0,1,0,0,congrat year special cinema pass call suprman matrix starwar etc free bxipw miss,congrats year special cinema pas call suprman matrix starwars etc free bxipwe miss
ham,"Sorry, I'll call later in meeting.",34,6,34,2,0.058823529411764705,0,0,0,0,0,0,sorri ill call later meet,sorry ill call later meeting
ham,Tell where you reached,22,4,22,1,0.045454545454545456,0,0,0,0,0,0,tell reach,tell reached
ham,Yes..gauti and sehwag out of odi series.,40,7,40,1,0.025,0,0,0,0,0,0,yesgauti sehwag odi seri,yesgauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,23,108,3,0.027777777777777776,0,0,1,1,0,0,gon pick burger way home cant even move pain kill,gon pick burger way home cant even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,48,9,48,2,0.041666666666666664,0,0,0,0,0,0,good joke girl situat seeker,good joke girl situation seeker
ham,Its a part of checking IQ,25,6,25,3,0.12,0,0,0,0,0,0,part check,part checking
ham,"Sorry my roommates took forever, it ok if I come by now?",56,12,56,2,0.03571428571428571,0,1,0,0,0,0,sorri roommat took forev come,sorry roommate took forever come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,24,110,2,0.01818181818181818,0,0,0,0,0,0,lar doubl check wif hair dresser alreadi said wun cut short said cut look nice,lar double check wif hair dresser already said wun cut short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,28,152,6,0.039473684210526314,0,0,1,1,0,0,valu custom pleas advis follow recent review mob award bonu prize call,valued customer pleased advise following recent review mob awarded bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,23,122,3,0.02459016393442623,0,1,0,0,0,0,today song dedic day song dedic send valuabl frnd first rpli,today song dedicated day song dedicate send valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,22,159,24,0.1509433962264151,0,0,1,1,0,0,urgent award complimentari trip eurodisinc trav acoentri claim text shracomorsglsuplt,urgent awarded complimentary trip eurodisinc trav acoentry claim text shracomorsglsuplt
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,15,78,5,0.0641025641025641,1,1,0,0,0,0,hear new divorc barbi come ken stuff,hear new divorce barbie come ken stuff
ham,I plane to give on this month end.,34,8,34,1,0.029411764705882353,0,0,0,0,0,0,plane give month end,plane give month end
ham,Wah lucky man... Then can save money... Hee...,46,8,46,3,0.06521739130434782,0,0,0,0,0,0,wah lucki man save money hee,wah lucky man save money hee
ham,Finished class where are you.,29,5,29,1,0.034482758620689655,0,0,0,0,0,0,finish class,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,10,45,35,0.7777777777777778,0,1,0,0,0,0,babe home wan someth,babe home wan something
ham,K..k:)where are you?how did you performed?,42,6,42,1,0.023809523809523808,0,2,0,0,0,0,kkwhere youhow perform,kkwhere youhow performed
ham,U can call me now...,20,5,20,1,0.05,0,0,0,0,0,0,call,call
ham,I am waiting machan. Call me once you free.,43,9,43,2,0.046511627906976744,0,0,0,0,0,0,wait machan call free,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,14,73,1,0.0136986301369863,0,0,0,0,0,0,that cool gentleman treat digniti respect,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,50,11,50,1,0.02,0,0,0,0,0,0,like peopl much shi,like people much shy
ham,Does not operate after  &lt;#&gt;  or what,42,7,42,1,0.023809523809523808,0,0,0,0,0,0,oper ltgt,operate ltgt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,16,76,4,0.05263157894736842,0,0,0,0,0,0,still look job much ta earn,still looking job much ta earn
ham,"Sorry, I'll call later",22,4,22,2,0.09090909090909091,0,0,0,0,0,0,sorri ill call later,sorry ill call later
ham,K. Did you call me just now ah? ,32,8,32,2,0.0625,0,1,0,0,0,0,call,call
ham,Ok i am on the way to home hi hi,32,10,32,1,0.03125,0,0,0,0,0,0,way home,way home
ham,You will be in the place of that man,36,9,36,1,0.027777777777777776,0,0,0,0,0,0,place man,place man
ham,Yup next stop.,14,3,14,1,0.07142857142857142,0,0,0,0,0,0,yup next stop,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",55,11,55,2,0.03636363636363636,0,0,0,0,0,0,call later dont network urgnt sm,call later dont network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,26,121,4,0.03305785123966942,0,1,0,1,0,0,real get need ticket one jacket done alreadi use multi,real getting need ticket one jacket done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,31,144,5,0.034722222222222224,0,0,0,0,0,0,ye start send request make pain came back back bed doubl coin factori got cash nitro,yes started send request make pain came back back bed double coin factory got cash nitros
ham,I'm really not up to it still tonight babe,42,9,42,1,0.023809523809523808,0,0,0,0,0,0,realli still tonight babe,really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",41,7,41,1,0.024390243902439025,0,0,0,0,0,0,ela kanoil download come wen free,ela kanoil download come wen free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,10,58,2,0.034482758620689655,2,0,0,0,0,0,yeah stand close tho catch someth,yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,39,195,4,0.020512820512820513,0,1,0,1,0,0,sorri pain meet anoth night spent late afternoon casualti mean havent done stuffmoro includ time sheet sorri,sorry pain meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,26,141,19,0.1347517730496454,2,0,0,1,0,0,smile pleasur smile pain smile troubl pour like rain smile sum hurt smile becoz someon still love see smile,smile pleasure smile pain smile trouble pours like rain smile sum hurt smile becoz someone still love see smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,23,137,4,0.029197080291970802,1,0,1,1,0,0,pleas call custom servic repres ampm guarante cash prize,please call customer service representative ampm guaranteed cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,20,107,3,0.028037383177570093,0,1,0,1,0,0,havent plan buy later check alreadi lido got show afternoon finish work alreadi,havent planning buy later check already lido got show afternoon finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,29,158,18,0.11392405063291139,0,0,0,1,0,0,free rington wait collect simpli text password mix verifi get usher britney fml box ppw,free ringtone waiting collected simply text password mix verify get usher britney fml box ppw
ham,Watching telugu movie..wat abt u?,33,5,33,1,0.030303030303030304,0,1,0,0,0,0,watch telugu moviewat abt,watching telugu moviewat abt
ham,i see. When we finish we have loads of loans to pay,51,12,51,1,0.0196078431372549,0,0,0,0,0,0,see finish load loan pay,see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,38,178,5,0.028089887640449437,1,1,0,0,0,0,hol ye bit run forgot hairdress appoint four need get home shower beforehand caus prob,hols yes bit run forgot hairdresser appointment four need get home shower beforehand cause prob
ham,I see a cup of coffee animation,31,7,31,1,0.03225806451612903,0,0,0,0,0,0,see cup coffe anim,see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,57,11,57,2,0.03508771929824561,0,0,0,0,0,0,pleas dont text anymor noth els say,please dont text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,21,81,4,0.04938271604938271,1,1,0,0,0,0,okay name price long legal wen pick ave am,okay name price long legal wen pick ave am
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,16,76,2,0.02631578947368421,0,0,0,1,0,0,still look car buy gone drive test yet,still looking car buy gone driving test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,26,160,10,0.0625,0,0,0,1,0,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,36,183,4,0.02185792349726776,1,0,0,0,0,0,wow your right didnt mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,44,10,44,1,0.022727272727272728,0,0,0,0,0,0,umma life vava umma love lot dear,umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,17,95,2,0.021052631578947368,0,0,0,0,0,0,thank lot wish birthday thank make birthday truli memor,thanks lot wish birthday thanks making birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",43,10,43,3,0.06976744186046512,0,0,0,0,0,0,aight ill hit get cash,aight ill hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,82,14,82,1,0.012195121951219513,0,0,0,0,0,0,would address test consid comput isnt minecraft server,would address test considering computer isnt minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,24,115,5,0.043478260869565216,1,0,0,0,0,0,know grumpi old peopl mom like better lie alway one play joke,know grumpy old people mom like better lying always one play joke
ham,Dont worry. I guess he's busy.,30,6,30,2,0.06666666666666667,0,0,0,0,0,0,worri guess he busi,worry guess he busy
ham,What is the plural of the noun research?,40,8,40,1,0.025,0,1,0,0,0,0,plural noun research,plural noun research
ham,Going for dinner.msg you after.,31,5,31,1,0.03225806451612903,0,0,0,0,0,0,go dinnermsg,going dinnermsg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,24,96,3,0.03125,0,0,0,1,0,0,wif co like tri new thing scare dun like mah co said loud,wif co like try new thing scared dun like mah co said loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,27,158,21,0.13291139240506328,1,0,1,1,0,0,gent tri contact last weekend draw show prize guarante call claim code valid hr ppm,gent trying contact last weekend draw show prize guaranteed call claim code valid hr ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,24,143,4,0.027972027972027972,0,1,0,0,0,0,openin sentenc formal anyway fine juz eatin much puttin weighthaha anythin special happen,openin sentence formal anyway fine juz eatin much puttin weighthaha anythin special happened
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,32,156,11,0.07051282051282051,2,0,0,1,0,0,enter cabin said happi bday boss felt special askd lunch lunch invit apart went,entered cabin said happy bday bos felt special askd lunch lunch invited apartment went
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,27,152,2,0.013157894736842105,0,0,1,1,0,0,winner special select receiv holiday flight inc speak live oper claim pmin,winner specially selected receive holiday flight inc speak live operator claim pmin
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,12,72,2,0.027777777777777776,2,0,0,0,0,0,goodo ye must speak friday eggpotato ratio tortilla need,goodo yes must speak friday eggpotato ratio tortilla needed
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,15,86,2,0.023255813953488372,0,0,0,0,0,0,hmmmi uncl inform he pay school directli pleas buy food,hmmmy uncle informed he paying school directly please buy food
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,20,144,16,0.1111111111111111,1,0,0,1,0,0,privat account statement show unredeem bonu point claim call identifi code expir,private account statement show unredeemed bonus point claim call identifier code expires
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,26,156,25,0.16025641025641027,2,0,1,1,0,0,urgent mobil award bonu caller prize final tri contact call landlin boxwrc ppm,urgent mobile awarded bonus caller prize final try contact call landline boxwrc ppm
ham,here is my new address -apples&pairs&all that malarky,53,8,53,0,0.0,0,0,0,0,0,0,new address applespairsal malarki,new address applespairsall malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,27,156,3,0.019230769230769232,0,0,1,1,0,0,today voda number end select receiv award match pleas call quot claim code standard rate app,today voda number ending selected receive award match please call quoting claim code standard rate app
ham,I am going to sao mu today. Will be done only at 12 ,52,13,52,2,0.038461538461538464,0,0,0,1,0,0,go sao today done,going sao today done
ham,Ü predict wat time ü'll finish buying?,38,7,38,0,0.0,0,1,0,0,0,0,predict time üll finish buy,predict time üll finish buying
ham,"Good stuff, will do.",20,4,20,1,0.05,0,0,0,0,0,0,good stuff,good stuff
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,46,244,4,0.01639344262295082,0,0,0,0,0,0,knowyetund hasnt sent money yet sent text bother send involv anyth shouldnt impos anyth first place apologis,knowyetunde hasnt sent money yet sent text bother sending involve anything shouldnt imposed anything first place apologise
ham,Are you there in room.,22,5,22,1,0.045454545454545456,0,0,0,0,0,0,room,room
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,27,107,75,0.7009345794392523,2,1,0,0,0,0,hey girl hope well del bak long time give call sum time lucyxx,hey girl hope well del bak long time give call sum time lucyxx
ham,K..k:)how much does it cost?,28,5,28,1,0.03571428571428571,0,1,0,0,0,0,kkhow much cost,kkhow much cost
ham,I'm home.,9,2,9,1,0.1111111111111111,0,0,0,0,0,0,home,home
ham,"Dear, will call Tmorrow.pls accomodate.",39,5,39,2,0.05128205128205128,0,0,0,0,0,0,dear call tmorrowpl accomod,dear call tmorrowpls accomodate
ham,First answer my question.,25,4,25,1,0.04,0,0,0,0,0,0,first answer question,first answer question
